name,foundingDate,endDate,logoURL,mission,websiteURL,twitterURL,discordURL,amountOfInhabitants,inhabitantsTracker,applicationURL
Afropolitan,N/A,N/A,../assets/networkStatesLogos/afropolitan.webp,Building a pan-African digital nation,https://www.afropolitan.io/,https://twitter.com/afropolitan,https://discord.gg/EYGg9rBScF,511,https://opensea.io/collection/afropolitan,https://2diidsvpe0l.typeform.com/to/FxdsdaMB?typeform-source=t.co
BowTiedJungle,N/A,N/A,../assets/networkStatesLogos/bowtiedisland.png,"Pseudonymous community: anti-bank, pro-crypto",https://bowtiedisland.com/,https://twitter.com/bowtiedbull,https://discord.com/invite/hb74V2mZck,N/A,N/A,https://bowtiedbull.substack.com/p/bowtiedbull-faq-will-be-updated-over
build_republic,N/A,N/A,../assets/networkStatesLogos/build.svg?raw,Building a protocol for startup cities,https://buildcities.network/,https://twitter.com/joinbuild_,https://discord.gg/XrxbdcCvn5,N/A,N/A,https://buildcities.typeform.com/to/POkCqQpD
Cabin,N/A,N/A,../assets/networkStatesLogos/cabin.png,Building a decentralized city for creators,https://creatorcabins.com/,https://twitter.com/creatorcabins,https://discord.gg/paqg6acbE8,333,https://opensea.io/collection/cabin-citizenship,https://www.cabin.city/citizenship
Palestra,N/A,N/A,../assets/networkStatesLogos/palestra.jpeg,"Join Palestra, build the new world",https://www.palestrasociety.com/,http://twitter.com/PalestraSociety,N/A,N/A,N/A,https://palestrasociety.typeform.com/apply
City of Telosa,N/A,N/A,../assets/networkStatesLogos/telosa.avif,Creating an economic system in which citizens have a stake in the city’s land,https://cityoftelosa.com/,https://twitter.com/CityofTelosa,N/A,N/A,N/A,https://city-of-telosa.mn.co/
CityDAO,N/A,N/A,../assets/networkStatesLogos/citydao.svg?raw,Building a blockchain-native city,https://citydao.io/,https://twitter.com/CityDAO,https://discord.gg/B9YbPNwcD3,4917,https://opensea.io/collection/cdao,https://discord.gg/B9YbPNwcD3
Cohere,N/A,N/A,../assets/networkStatesLogos/cohere.png,Building a network of member-owned co-living and co-working spaces,https://cohere.network/,http://social.cohere.network/twitter,https://social.cohere.network/discord,N/A,N/A,https://www.cohere.network/membership/benefits
Culdesac,N/A,N/A,../assets/networkStatesLogos/culdesac.png,Building a car-free neighborhood,https://culdesac.com/,https://twitter.com/culdesac,N/A,N/A,N/A,https://culdesac.com/join-us/
Figment,2019-05-08‘,N/A,../assets/networkStatesLogos/figment.jpg,Building a club in the metaverse,https://country.figment.live/,https://twitter.com/livefigment,https://discord.gg/PFvN2rFwbr,26,https://opensea.io/collection/figment-country-club,https://country.figment.live/
Game B,N/A,N/A,../assets/networkStatesLogos/gameb.avif,Rethinking society in the age of social networks,https://www.game-b.org/,https://twitter.com/GameB__,https://discord.gg/Gm9nEZJ,N/A,N/A,https://www.game-b.org/sign_up
Jur,N/A,N/A,../assets/networkStatesLogos/jur.svg?raw,Creating an efficient jurisdiction for the digital economy,https://jur.io/,https://twitter.com/JurProject,https://discord.gg/hy8XysxVUZ,N/A,N/A,https://jur.io/citizenship/
Kift,N/A,N/A,../assets/networkStatesLogos/kift.svg?raw,Building a vanlife community,https://www.kift.com/,https://twitter.com/kiftlife,https://discord.gg/tSKesnsPWu,282,https://opensea.io/collection/kiftables,https://www.kift.com/membership
Kong,N/A,N/A,../assets/networkStatesLogos/kong.png,Bridging the metaverse and the real world,https://kong.land/,https://twitter.com/Kongiscash,https://discord.gg/dypeg4JfTX,218,https://etherscan.io/token/0x77F0cc420dEa0aE726Db6Bef1460A4B69176A8Ea,https://app.uniswap.org/#/swap?exactField=output&exactAmount=1&outputCurrency=0x77F0cc420dEa0aE726Db6Bef1460A4B69176A8Ea&chain=mainnet
Nation3,N/A,N/A,../assets/networkStatesLogos/nation3.png,Building a web 3 solarpunk society,https://nation3.org/,https://twitter.com/Nation3DAO,https://discord.gg/nation3,265,https://opensea.io/collection/nation3-genesis-passport,https://app.nation3.org/
Oceanix,N/A,N/A,../assets/networkStatesLogos/oceanix.jpg,"Creating new land for the coastal city of Busan, Korea",https://oceanixcity.com/,https://twitter.com/OceanixCity,N/A,N/A,N/A,https://oceanix.com/contact-us/
Plumia,N/A,N/A,../assets/networkStatesLogos/plumia.png,Building a borderless society for digital nomads,https://plumia.org/,https://twitter.com/PlumiaCountry,https://plumia.org/apply-now/,N/A,N/A,https://plumia.org/apply-now/
Porta Norte,N/A,N/A,../assets/networkStatesLogos/portanorte.png,Building a European town integrated with nature,https://en.portanorte.com/,https://twitter.com/portanortepa,N/A,N/A,N/A,https://docs.google.com/forms/d/e/1FAIpQLSehZ5bTCNnOB_2I77BBvZXAvUL6WBUis_9uTEh9RkS6adfgbQ/viewform?usp=sf_link
Praxis,N/A,N/A,../assets/networkStatesLogos/praxis.png,Building a new city that enables us to live more vital lives,https://praxissociety.com/,https://twitter.com/PraxisSociety,https://discord.gg/praxis,N/A,N/A,https://www.praxissociety.com/apply
Proof Of Humanity,N/A,N/A,../assets/networkStatesLogos/proofOfHuman.png,Building decentralized democracy using social verification,https://www.proofofhumanity.org/,https://twitter.com/pohdao,https://discord.gg/eQGnF6aW6p,18467,https://www.proofofhumanity.org/,https://www.proofofhumanity.org/
Prospéra,N/A,N/A,../assets/networkStatesLogos/prospera.png,Building a startup city on Honduras' Roatan Island,https://prospera.hn/,https://twitter.com/ProsperaGlobal,https://discord.gg/zpzfuJmC,N/A,N/A,https://prospera.hn/residence-form/
RNS.ID,N/A,N/A,../assets/networkStatesLogos/rnsID.png,Digital identity backed by the sovereign state of Palau,https://rns.id/,https://twitter.com/RNS_global,https://discord.gg/rns,N/A,N/A,https://rns.id/app/register?next_url=/app/getYourId
Satoshi Island,N/A,N/A,../assets/networkStatesLogos/satoshiIsland.png,Building a crypto community in Vanuatu,https://satoshi-island.com/,https://twitter.com/satoshiisland,https://discord.gg/satoshiisland,3568,https://opensea.io/collection/satoshi-island-citizenship-nfts,https://www.satoshi-island.com/citizenship.html
Itana by Talent Cities,N/A,N/A,../assets/networkStatesLogos/itana.png,Building a remote-work-friendly city in Nigeria's Lekki Free Zone,https://talentcity.ng/,https://twitter.com/talentcitylagos,N/A,N/A,N/A,https://talentcity.typeform.com/to/n3srztt2
W3ST,N/A,N/A,../assets/networkStatesLogos/w3st.png,Building a solarpunk society,https://en.w3st.xyz/,https://twitter.com/w3stdao,https://discord.com/invite/enYQtPpnh3,N/A,N/A,https://en.w3st.xyz/passport
